floodable_forests,biomass,sur_cover,dist,nearest_mature,cec,clay,cfvo,nitro,ocd,ocs,phh2o,sand,soc,mean_soil,mean_vpd,mean_temp,mean_def,mean_srad,mean_pr,mean_pdsi,mean_aet,num_fires,ecoreg,biome,indig,protec,topography,age,sd
0,51.0,0.23375143110752106,5221.0,140.2448979591836,10737.9443359375,27.566667556762695,9.100000381469727,19905.873046875,26.566667556762695,5.699999809265137,4.800000190734863,39.150001525878906,25988.5,2340.9714285714285,0.7882857322692871,25.060237884521484,264.6857142857143,1587.2833251953125,1910.5428466796875,-0.6162142753601074,1006.6571428571428,4,518,1,0,0,41,12,21
0,74.0,0.26567843556404114,2084.0,137.6382978723403,12232.0,28.96666717529297,8.300000190734863,18698.599609375,23.649999618530273,4.599999904632568,4.883333206176758,40.88333511352539,23783.0,2268.885714285714,0.8510952591896057,25.964284896850586,285.6,1603.9283447265625,1878.4285888671875,-0.643761932849884,1018.0857142857143,2,481,1,0,0,31,24,31
0,112.0,0.3386545181274414,5977.0,136.54545454545442,12228.1669921875,27.700000762939453,11.199999809265137,20824.6328125,23.649999618530273,5.300000190734863,4.900000095367432,38.33333206176758,29670.333984375,2305.942857142857,0.8488333225250244,25.811309814453125,273.0857142857143,1573.426513671875,1897.4571533203125,-0.6912142634391785,1011.6857142857143,1,481,1,0,0,31,8,52
0,99.74494400711073,0.10490307956933975,32767.0,126.29787234042537,9654.8330078125,31.350000381469727,4.300000190734863,17401.8671875,22.183332443237305,4.099999904632568,4.949999809265137,38.63333511352539,21004.166015625,2439.2285714285713,0.9525476098060608,26.424999237060547,291.37142857142857,1588.3280029296875,1845.6856689453125,-0.6815000176429749,1033.4285714285713,1,518,1,0,0,21,11,38
0,122.0,0.0,32767.0,124.5102040816325,9670.0,29.66666603088379,5.483333110809326,15457.56640625,21.366666793823242,3.5999999046325684,5.083333492279053,39.400001525878906,16939.666015625,2390.9714285714285,0.9601190686225891,26.508333206176758,303.74285714285713,1623.1065673828125,1811.6571044921875,-0.642547607421875,1041.857142857143,6,518,1,0,0,21,8,45
1,90.0,0.0,32767.0,125.99999999999983,16516.666015625,28.233333587646484,6.233333110809326,19503.583984375,23.850000381469727,4.300000190734863,5.0,35.46666717529297,23815.333984375,2522.8285714285716,0.9732142686843872,26.585357666015625,284.2,1581.71142578125,1837.4285888671875,-0.6967857480049133,1042.8285714285714,1,481,1,0,0,34,15,34
0,99.0,0.0,32767.0,124.85714285714268,11022.5,27.544445037841797,5.5833330154418945,15726.0673828125,21.505556106567383,3.7333333492279053,4.988888740539551,42.08333206176758,20353.333984375,2480.457142857143,0.9782857298851013,26.512144088745117,284.45714285714286,1576.5833740234375,1852.4000244140625,-0.7191428542137146,1039.7428571428572,2,481,1,0,0,42,4,37
0,93.0,0.0,32767.0,125.24489795918348,12316.5,28.5,7.116666793823242,17926.099609375,21.41666603088379,4.099999904632568,4.949999809265137,41.349998474121094,19461.5,2481.6285714285714,0.956333339214325,26.288333892822266,295.7142857142857,1598.7486572265625,1820.971435546875,-0.6665714383125305,1031.6571428571428,1,518,1,0,0,41,3,41
0,101.0,0.020524514839053154,32767.0,125.73469387755081,9886.0,26.483333587646484,5.633333206176758,17429.666015625,21.16666603088379,3.5999999046325684,4.949999809265137,41.266666412353516,17891.333984375,2545.542857142857,0.9552857279777527,26.305713653564453,289.3142857142857,1593.3369140625,1817.8857421875,-0.7493571639060974,1034.7714285714285,1,518,1,0,0,41,9,41
0,96.0,0.23945267498493195,32767.0,127.24489795918345,7838.33349609375,25.5,5.449999809265137,15408.650390625,22.883333206176758,4.300000190734863,4.900000095367432,39.93333435058594,16777.333984375,2442.0857142857144,0.9587143063545227,26.278451919555664,293.2,1594.1309814453125,1813.228515625,-0.7211428284645081,1031.1142857142856,1,518,1,0,0,24,29,45
1,112.0,0.013683009892702103,32767.0,126.87234042553169,9513.1669921875,27.116666793823242,5.616666793823242,14749.2666015625,21.133333206176758,3.799999952316284,4.900000095367432,37.78333282470703,16993.0,2360.542857142857,0.9790952205657959,26.407737731933594,300.22857142857146,1596.6007080078125,1816.199951171875,-0.6906428337097168,1031.2857142857142,4,518,1,0,0,41,19,45
0,91.0,0.04104902967810631,32767.0,126.87234042553169,11972.3330078125,25.799999237060547,8.333333015441895,17413.06640625,23.25,4.099999904632568,5.083333492279053,38.38333511352539,19619.0,2314.285714285714,0.9670000076293945,26.224166870117188,299.8285714285714,1596.967529296875,1816.94287109375,-0.7072142958641052,1026.2,4,518,1,0,0,24,15,40
0,216.0,0.8848346471786499,1078.0,290.12244897959164,16738.666015625,32.96666717529297,2.4666666984558105,19443.80078125,23.100000381469727,4.800000190734863,4.483333110809326,30.25,40096.33203125,1708.0857142857142,0.6450476050376892,25.52750015258789,52.857142857142854,1365.8756103515625,2089.60009765625,-0.7290714383125305,997.3428571428572,2,505,1,0,1,31,6,112
0,396.0,0.7115165591239929,1063.0,290.12244897959164,15654.6669921875,33.25,0.8166666626930237,20965.732421875,22.649999618530273,4.300000190734863,4.483333110809326,33.28333282470703,37576.0,1697.5428571428572,0.6396904587745667,25.502857208251953,53.628571428571426,1358.8011474609375,2088.45703125,-0.7374285459518433,991.2285714285714,3,505,1,0,0,42,11,200
0,404.0,0.9521094560623169,1073.0,283.5714285714284,15863.0,28.066667556762695,1.5666667222976685,19646.900390625,24.03333282470703,4.699999809265137,4.483333110809326,33.79999923706055,23645.0,1664.3142857142857,0.6187618970870972,25.41773796081543,55.51428571428571,1367.5704345703125,2077.8857421875,-0.7946666479110718,990.8,0,505,1,0,0,42,23,211
