floodable_forests,biomass,sur_cover,quarter_biomass,quarter,ecoreg_biomass,dist,nearest_mature,cec,clay,cfvo,nitro,ocd,ocs,phh2o,sand,soc,mean_soil,mean_vpd,mean_temp,mean_def,mean_srad,mean_pr,mean_pdsi,mean_aet,num_fires,ecoreg,biome,indig,protec,topography,age,sd
0,109.0,0.06385404616594315,267.0,4.0,229.0,7667.0,209.3673469387754,12463.0,27.116666793823242,3.25,23943.19921875,22.25,5.400000095367432,4.5,46.81666564941406,20419.5,2012.9714285714285,1.1177618503570557,26.04273796081543,318.48571428571427,1547.987060546875,1860.199951171875,-0.9647857546806335,984.3142857142857,4,481,1,0,0,21,1,36
1,61.0,0.010262257419526577,267.0,4.0,229.0,4476.0,208.5102040816325,12375.1669921875,24.633333206176758,0.5333333611488342,14735.2001953125,19.75,4.400000095367432,4.75,51.349998474121094,20745.5,1946.5142857142857,1.1278095245361328,26.105953216552734,324.8857142857143,1549.9066162109375,1877.3143310546875,-0.8881666660308838,982.8285714285714,2,481,1,0,0,42,21,20
0,165.0153029370351,0.28164196014404297,267.0,4.0,229.0,3406.0,202.57142857142847,13882.0,23.78333282470703,2.433333396911621,16530.599609375,21.83333396911621,4.699999809265137,4.583333492279053,49.20000076293945,19347.0,1856.057142857143,1.131928563117981,26.163095474243164,338.9714285714286,1546.97802734375,1889.0,-0.8217142820358276,968.5142857142857,0,481,1,0,0,31,12,60
0,189.0,0.5416191816329956,267.0,4.0,293.0,7654.0,210.61224489795907,10663.1669921875,26.133333206176758,2.3499999046325684,15905.7666015625,21.78333282470703,4.400000095367432,4.5,46.983333587646484,22634.833984375,2029.2857142857142,1.092904806137085,25.876190185546875,324.22857142857146,1552.66064453125,1862.6571044921875,-0.8123095035552979,974.5142857142857,0,476,1,0,0,21,17,60
0,194.0,0.8050171136856079,267.0,4.0,293.0,7233.0,213.51020408163257,10993.6669921875,26.450000762939453,1.899999976158142,14783.7998046875,21.433332443237305,4.699999809265137,4.483333110809326,47.04999923706055,19925.5,2036.9714285714285,1.1055952310562134,25.98607063293457,325.0857142857143,1551.1851806640625,1878.4285888671875,-0.7593809366226196,976.6,1,476,1,0,0,31,4,63
0,203.09778388223899,0.14595210552215576,267.0,4.0,293.0,7280.0,215.75510204081624,,22.816667556762695,1.350000023841858,,21.91666603088379,4.5,4.550000190734863,43.04999923706055,,2126.285714285714,1.1297380924224854,26.21238136291504,322.2857142857143,1548.955810546875,1890.6571044921875,-0.7528571486473083,986.1714285714286,1,476,1,0,0,31,5,94
0,193.0,0.8015963435173035,267.0,4.0,229.0,1203.0,218.04081632653046,13708.8330078125,28.83333396911621,2.950000047683716,16170.8837890625,20.866666793823242,4.400000095367432,4.5,40.86666488647461,21424.666015625,2314.5714285714284,1.1000714302062988,25.965356826782227,315.34285714285716,1554.7025146484375,1879.199951171875,-0.7057380676269531,986.6857142857143,0,481,1,0,0,21,5,75
0,195.0,0.4378563165664673,267.0,4.0,229.0,1491.0,219.32653061224474,11334.388671875,30.211111068725586,2.933333396911621,15131.6611328125,22.0222225189209,4.9666666984558105,4.300000190734863,38.27777862548828,19889.33203125,2421.4285714285716,1.09333336353302,25.784404754638672,304.51428571428573,1545.229248046875,1926.6571044921875,-0.7046428322792053,992.4571428571429,1,481,1,0,0,31,9,75
0,93.0,0.2964652180671692,267.0,4.0,229.0,1703.0,219.20408163265293,12382.0556640625,27.938888549804688,1.5111111402511597,15598.9052734375,20.488889694213867,4.599999904632568,4.733333110809326,40.95000076293945,17877.166015625,2448.9142857142856,1.0820714235305786,25.75511932373047,306.65714285714284,1554.1873779296875,1896.914306640625,-0.6800237894058228,989.4857142857143,1,481,1,0,0,31,4,32
0,182.0,0.0,267.0,4.0,229.0,2857.0,218.08163265306112,11505.0,29.016666412353516,1.600000023841858,14035.56640625,20.733333587646484,4.699999809265137,4.449999809265137,41.516666412353516,18540.666015625,2647.4,1.0992143154144287,25.82964324951172,295.74285714285713,1548.9891357421875,1928.085693359375,-0.7003333568572998,1006.9428571428572,3,481,1,0,0,24,16,59
0,207.0,0.11174458265304565,267.0,4.0,229.0,6812.0,215.28571428571416,10367.6669921875,27.516666412353516,6.550000190734863,22215.666015625,23.700000762939453,5.599999904632568,4.449999809265137,43.43333435058594,21922.166015625,2629.5142857142855,1.0834523439407349,25.575119018554688,298.7142857142857,1547.661865234375,1941.1142578125,-0.7222142815589905,1001.2285714285714,3,481,1,0,0,31,17,66
0,153.0,0.48346635699272156,267.0,4.0,229.0,3055.0,212.46938775510188,11452.0,29.116666793823242,1.6166666746139526,14720.650390625,21.91666603088379,4.599999904632568,4.400000095367432,38.21666717529297,18941.333984375,2862.7428571428572,1.1126428842544556,25.965713500976562,286.8285714285714,1549.1336669921875,1945.4285888671875,-0.718500018119812,1018.2857142857143,0,481,1,0,0,31,15,49
1,102.0,0.0,267.0,4.0,229.0,3345.0,210.99999999999986,11682.8330078125,27.883333206176758,1.6666666269302368,14650.716796875,21.03333282470703,4.699999809265137,4.849999904632568,42.5,21310.5,2912.8571428571427,1.1085000038146973,25.98880958557129,285.0,1550.7294921875,1944.5714111328125,-0.7568809390068054,1020.8285714285714,1,481,1,0,0,34,19,32
0,98.0,0.149372860789299,267.0,4.0,229.0,10282.0,209.67346938775492,14609.5,27.08333396911621,1.4166666269302368,16291.7666015625,21.0,4.900000095367432,4.699999809265137,45.25,19681.833984375,3176.2,1.1316428184509277,26.098690032958984,272.8285714285714,1553.262939453125,2008.085693359375,-0.9114285707473755,1041.5428571428572,1,481,1,0,0,21,6,30
1,88.0,0.0,267.0,4.0,229.0,9781.0,208.2857142857141,12628.666015625,24.75,1.288888931274414,15774.2275390625,21.33888816833496,4.733333110809326,4.605555534362793,49.1944465637207,19222.888671875,3197.714285714286,1.1312142610549927,26.180952072143555,272.9714285714286,1558.7711181640625,1992.6571044921875,-0.866428554058075,1044.3714285714286,3,481,1,0,0,21,18,33
0,140.0,0.486887127161026,267.0,4.0,229.0,13451.0,205.612244897959,11860.6669921875,26.600000381469727,1.75,14704.400390625,21.950000762939453,4.699999809265137,4.650000095367432,44.41666793823242,21418.666015625,3197.714285714286,1.1312142610549927,26.180952072143555,272.9714285714286,1558.7711181640625,1992.6571044921875,-0.866428554058075,1044.3714285714286,5,481,1,0,0,31,18,48
0,135.0,0.10604333132505417,267.0,4.0,229.0,6123.0,203.97959183673453,12001.0,25.299999237060547,0.8166666626930237,13618.4501953125,23.766666412353516,5.300000190734863,4.699999809265137,50.733333587646484,21708.0,3292.4857142857145,1.103690505027771,26.010833740234375,266.4,1560.0728759765625,2026.6571044921875,-1.0868333578109741,1044.5714285714287,2,481,1,0,0,24,4,51
0,149.0,0.12428734451532364,267.0,4.0,229.0,4889.0,201.89795918367332,10910.0,28.983333587646484,0.8666666746139526,14335.9169921875,20.683332443237305,5.400000095367432,4.75,49.70000076293945,20095.666015625,3327.6857142857143,1.096333384513855,26.006071090698242,264.45714285714286,1562.770263671875,2029.4285888671875,-1.1684046983718872,1045.6,4,481,1,0,0,34,14,51
0,80.0,0.09122006595134735,267.0,4.0,229.0,3881.0,199.5510204081631,12221.1669921875,27.450000762939453,1.5666667222976685,13877.8330078125,20.08333396911621,4.800000190734863,4.5333333015441895,50.266666412353516,19213.0,3392.6857142857143,1.0829285383224487,25.958572387695312,265.0571428571429,1566.05078125,2048.60009765625,-1.4141666889190674,1042.5428571428572,8,481,1,0,0,34,5,28
0,63.0,0.3432154953479767,267.0,4.0,229.0,1889.0,195.91836734693862,10250.0,30.91666603088379,3.066666603088379,14317.7333984375,19.450000762939453,4.400000095367432,4.349999904632568,47.04999923706055,19815.166015625,3394.8571428571427,1.0730714797973633,25.84321403503418,265.74285714285713,1570.7425537109375,2034.4857177734375,-1.3657143115997314,1040.6857142857143,3,481,1,0,0,34,1,19
0,51.0,0.2303306758403778,267.0,4.0,229.0,2400.0,192.2448979591835,12530.3330078125,25.950000762939453,2.200000047683716,16846.166015625,20.433332443237305,5.199999809265137,4.849999904632568,48.79999923706055,20463.666015625,3444.457142857143,1.0605000257492065,25.827024459838867,267.9428571428571,1576.0411376953125,2054.0,-1.6335238218307495,1039.0285714285715,4,481,1,0,0,34,7,16
0,141.0,0.25427594780921936,267.0,4.0,229.0,1411.0,189.36734693877537,11740.0,27.450000762939453,1.4833333492279053,15168.099609375,20.25,5.0,4.650000095367432,51.08333206176758,19532.0,3480.8571428571427,1.0605475902557373,25.77642822265625,263.2,1568.10595703125,2078.628662109375,-1.886047601699829,1038.5714285714287,0,481,1,0,0,24,14,43
0,,0.13797035813331604,267.0,4.0,229.0,2329.0,180.89795918367332,12880.5,27.0,1.5333333015441895,17708.5,21.850000381469727,5.0,5.083333492279053,51.483333587646484,20143.5,3516.8,1.0528333187103271,25.9184513092041,267.8,1592.26025390625,2051.228515625,-1.77909517288208,1046.942857142857,0,481,1,1,0,41,9,
0,,0.09122006595134735,267.0,4.0,229.0,2342.0,180.89795918367332,12880.5,27.0,1.5333333015441895,17708.5,21.850000381469727,5.0,5.083333492279053,51.483333587646484,20143.5,3516.8,1.0528333187103271,25.9184513092041,267.8,1592.26025390625,2051.228515625,-1.77909517288208,1046.942857142857,0,481,1,1,0,41,9,
