datasource,biome,model,land_use,landscape,keep_only_land_use_and_landscape,r2_mean,r2_sd,r2_final
aggregated_15yr,1,XGBoost,True,True,False,0.5046942076519121,0.004581550377509119,0.5046942076519121
aggregated_all,1,XGBoost,True,True,False,0.4798316041907971,0.008251101385138793,0.47983247013293717
aggregated_all_1985,1,XGBoost,True,True,False,0.4872626286991967,0.020307845999995498,0.4872626286991968
aggregated_10yr,1,XGBoost,True,True,False,0.5191104639694952,0.019971571510017383,0.5191122148070235
eu,1,XGBoost,True,True,False,0.5599764086250725,0.00837157564176454,0.5599764086250725
aggregated_15yr,4,XGBoost,True,True,False,0.805463923424165,0.0040758435139904734,0.8054640628304587
aggregated_all,4,XGBoost,True,True,False,0.5068900605197504,0.0038284700570408153,0.506890310797555
aggregated_all_1985,4,XGBoost,True,True,False,0.7062398290668928,0.013076180627072368,0.7062406614596852
aggregated_10yr,4,XGBoost,True,True,False,0.7889059204170227,0.005432149453139951,0.7889061649803122
eu,4,XGBoost,True,True,False,0.883537614146191,0.003093316959320962,0.8835373655228532
aggregated_15yr,both,XGBoost,True,True,False,0.6640411074984035,0.0041784843429748635,0.6640412641994147
aggregated_all,both,XGBoost,True,True,False,0.493300056276183,0.006455807581622448,0.49329997467266395
aggregated_all_1985,both,XGBoost,True,True,False,0.589518580438282,0.01142057819953582,0.5895183830594557
aggregated_10yr,both,XGBoost,True,True,False,0.6549645828963345,0.008492700691494815,0.6549646459616127
eu,both,XGBoost,True,True,False,0.7281576451701272,0.0058250592258200585,0.728157645170127
