"par","mean_r2_diff","sd_r2_diff","n"
"mean_vpd",0.000272072196702,NA,1
"indig",0.000576704714125437,0.000441304058357316,4
"last_lu",0.000594559223605673,4.3502323445023e-05,5
"phh2o",0.00113466042266586,2.51859540580354e-05,3
"floodable_forests",0.00119628229059576,NA,1
"topography",0.00135298395635537,0.000381796416382145,5
"lu_sum_10",0.00156123733970306,0.000843914362871847,5
"dist",0.0043928473178857,0.000500935814280871,5
"num_fires",0.00475280200221269,0.000498225731583015,5
"mean_aet",0.0159999799918152,0.00103584689582687,5
"sur_cover",0.0173413427196192,0.000944356001406236,5
"age",0.357103784495081,0.00290754243936049,5
