"par","mean_r2_diff","sd_r2_diff","n"
"cfvo",5.86035523391093e-05,NA,1
"ocd",6.00084372551768e-05,5.62717836591001e-06,2
"mean_pdsi",7.50000546910767e-05,NA,1
"mean_vpd",0.000106146313037292,NA,1
"mean_pr",0.000110154823306896,NA,1
"mean_temp",0.000145507755571095,NA,1
"nitro",0.000151882514257545,6.52305913283841e-05,4
"floodable_forests",0.000173197857889074,3.76555859977858e-05,5
"clay",0.000179984517404641,NA,1
"lu_sum_41",0.00020269285228508,1.55047935081893e-05,2
"ocs",0.000219226674463779,6.36319264897376e-05,2
"mean_def",0.000243190414947858,0.000176487754461997,2
"protec",0.000248683772406477,0.00013243766251241,5
"last_lu",0.00034587844716194,5.79426865713174e-05,4
"mean_soil",0.000389735493491972,0.00012629660659004,4
"indig",0.000543137036755814,0.000109111649923458,5
"cec",0.000551966366861278,0.000193182339050565,4
"sand",0.00067211973343746,0.000370025902141288,5
"topography",0.00119694169885169,9.49987454004329e-05,5
"phh2o",0.0014372393937635,0.00164618353012248,4
"dist",0.00412120872358384,0.000725610926560906,5
"num_fires",0.00487540050600623,0.000660990026233203,5
"mean_aet",0.0168318097220901,0.00118661829147485,5
"sur_cover",0.0189103324860553,0.00104789576778831,5
"age",0.351529767372779,0.0025880257826536,5
