"par","mean_r2_diff","sd_r2_diff","n"
"lu_sum_41",4.19652625988087e-05,NA,1
"cfvo",6.31659852814437e-05,NA,1
"fallow",0.000117973706786012,0.00011435376851483,2
"clay",0.000121567011870605,NA,1
"mean_pdsi",0.000202680248334919,0.000127779471468671,2
"protec",0.0002331077321924,0.000102584318550304,4
"nitro",0.000239459490845251,7.01660337178229e-05,2
"ocs",0.000241854285717102,0.000193025378271811,2
"mean_soil",0.000262924148099752,0.000124236950510236,4
"cec",0.000269326505707435,0.000108814741479516,4
"last_lu",0.000284345799518393,0.000126308374762615,5
"floodable_forests",0.000309469288197001,9.33604175629709e-05,4
"mean_def",0.00033885352469023,0.000257945881527979,5
"indig",0.000350195926754893,0.000103396953658586,5
"sand",0.000654985814133457,0.000303638724879918,5
"topography",0.00104193573237086,0.000166753854461914,5
"lu_sum_15",0.00104567905710917,0.000216810419543279,5
"phh2o",0.00106447731360666,0.000272536699709645,5
"dist",0.00446450764575119,8.78481551316213e-05,5
"num_fires",0.00477099305191022,0.000234069600322197,5
"mean_aet",0.0159460394063233,0.00121877461712286,5
"sur_cover",0.0185499869561766,0.000987081855487157,5
"age",0.363145581537394,0.00232544706377473,5
