datasource,biome,model,remove_land_use,remove_landscape,r2_mean,r2_sd,r2_final
aggregated_15yr,1,XGBoost,True,True,0.46166033526540406,0.01031141419560597,0.46166033526540395
aggregated_15yr,1,XGBoost,False,True,0.47770095226113085,0.005162918757924478,0.47770095226113074
aggregated_15yr,1,XGBoost,True,False,0.5002406654082018,0.005348997485960773,0.5002406654082019
aggregated_15yr,1,XGBoost,False,False,0.5046942076519121,0.004581550377509119,0.5046942076519121
aggregated_15yr_tilewise,1,XGBoost,True,True,0.5998836064994919,0.0053136518848506216,0.5998836468745187
aggregated_15yr_tilewise,1,XGBoost,False,True,0.6089151723842074,0.004559187261411328,0.608915206608658
aggregated_15yr_tilewise,1,XGBoost,True,False,0.6474026415812463,0.003917392625744267,0.647402673004251
aggregated_15yr_tilewise,1,XGBoost,False,False,0.6489059902189585,0.003119175121696903,0.6489060143608665
aggregated_15yr,4,XGBoost,True,True,0.7320624532560285,0.005046464551979412,0.7320627797102797
aggregated_15yr,4,XGBoost,False,True,0.7445716222660586,0.005588907728746201,0.7445717737172787
aggregated_15yr,4,XGBoost,True,False,0.8084285896860838,0.008098677240087004,0.8084288747558777
aggregated_15yr,4,XGBoost,False,False,0.805463923424165,0.0040758435139904734,0.8054640628304587
aggregated_15yr_tilewise,4,XGBoost,True,True,0.5207578374090922,0.036578910050679106,0.520757837409092
aggregated_15yr_tilewise,4,XGBoost,False,True,0.5281811606931475,0.031121049047484698,0.5281811606931476
aggregated_15yr_tilewise,4,XGBoost,True,False,0.5814226778852967,0.02728097488917193,0.5814226778852967
aggregated_15yr_tilewise,4,XGBoost,False,False,0.5700439053377032,0.03185667457572078,0.5700439053377031
aggregated_15yr,both,XGBoost,True,True,0.6090862941224533,0.00665779760545988,0.609086221775826
aggregated_15yr,both,XGBoost,False,True,0.6214666712947265,0.004509216503434812,0.6214666951028303
aggregated_15yr,both,XGBoost,True,False,0.6642278620856061,0.0032998212086323775,0.6642278233001009
aggregated_15yr,both,XGBoost,False,False,0.6640411074984035,0.0041784843429748635,0.6640412641994147
aggregated_15yr_tilewise,both,XGBoost,True,True,0.5962100717307509,0.007040292725316128,0.5962100424435025
aggregated_15yr_tilewise,both,XGBoost,False,True,0.6035757612154321,0.0072849219231428015,0.6035757303862143
aggregated_15yr_tilewise,both,XGBoost,True,False,0.642271276960483,0.006487618559330618,0.6422712564360264
