age,agbd,system:index
7,79.33333587646484,3
12,114.0,9
26,108.0,10
2,24.66666603088379,37
13,254.0,43
15,175.11111450195312,45
7,240.0,51
3,7.0,61
22,64.33333587646484,65
18,132.0,77
17,274.0,97
27,208.6666717529297,109
21,184.0,126
2,208.0,131
4,113.0,132
22,125.0,134
17,223.0,146
3,222.0,152
13,79.0,163
17,167.0,166
2,20.66666603088379,168
5,87.0,172
4,160.0,177
15,256.0,190
21,184.6666717529297,195
2,41.0,207
6,190.0,212
7,253.0,215
18,234.0,216
7,7.666666507720947,221
1,33.33333206176758,225
2,134.0,232
2,244.0,242
21,231.0,246
10,75.0,248
8,134.0,251
2,185.0,254
2,163.3333282470703,257
5,24.66666603088379,259
5,127.0,263
26,106.66666412353516,271
17,75.66666412353516,272
2,81.0,273
2,183.0,280
2,66.0,297
27,205.0,301
4,138.3333282470703,311
3,145.0,321
6,160.3333282470703,333
1,166.3333282470703,335
1,29.33333396911621,380
1,105.0,396
3,137.6666717529297,399
13,189.0,403
2,35.33333206176758,407
2,101.0,409
14,83.0,430
27,202.6666717529297,442
20,190.0,443
7,253.0,445
12,39.0,449
5,118.0,455
7,84.0,459
2,77.0,472
3,69.0,473
20,106.33333587646484,513
8,124.33333587646484,515
15,122.0,527
21,216.0,537
1,184.0,544
25,187.3333282470703,548
8,103.0,566
16,198.0,573
4,73.0,579
2,124.0,594
27,213.0,604
21,174.0,618
21,226.6666717529297,621
2,13.0,623
11,99.0,638
9,152.0,646
2,3.3333332538604736,654
26,265.0,691
27,140.0,700
15,222.3333282470703,709
2,48.0,711
16,22.0,712
1,149.0,746
31,144.6666717529297,751
6,91.0,773
2,73.0,778
3,68.0,786
2,191.0,790
3,46.0,795
7,163.0,802
4,128.0,803
35,104.0,823
5,53.0,830
23,142.3333282470703,838
26,150.0,840
19,202.0,841
12,267.0,849
3,222.0,858
19,192.6666717529297,872
6,73.33333587646484,873
5,43.33333206176758,887
5,57.0,891
5,93.0,892
15,93.0,898
3,39.0,900
5,86.0,909
2,83.0,917
15,93.0,935
5,162.0,947
16,32.66666793823242,948
19,224.0,952
5,40.0,954
2,101.0,955
7,95.66666412353516,958
3,70.0,964
2,37.0,971
17,88.0,980
4,155.6666717529297,986
16,66.0,987
5,84.0,995
2,81.0,998
7,164.0,999
8,173.0,1000
10,190.0,1002
29,162.6666717529297,1004
1,145.3333282470703,1010
4,81.0,1014
13,6.333333492279053,1020
15,114.0,1042
12,216.3333282470703,1047
3,16.0,1051
13,243.0,1057
15,46.66666793823242,1065
14,277.0,1066
11,100.33333587646484,1067
8,38.33333206176758,1083
3,124.0,1085
24,108.0,1086
4,70.0,1093
32,70.0,1096
2,141.0,1097
1,124.0,1102
4,109.0,1106
12,137.3333282470703,1107
3,31.0,1115
24,176.6666717529297,1119
6,68.0,1129
18,112.0,1132
23,89.0,1133
21,121.0,1146
5,143.0,1148
13,149.0,1153
25,139.0,1165
14,128.0,1171
4,198.0,1173
20,29.0,1174
6,197.0,1180
12,50.33333206176758,1186
7,100.0,1191
23,136.6666717529297,1199
11,43.66666793823242,1211
2,202.0,1215
1,135.0,1216
16,32.0,1227
7,22.0,1236
7,20.22222137451172,1241
14,98.0,1247
7,133.0,1256
2,52.0,1258
4,179.0,1260
1,199.0,1262
32,96.0,1264
20,203.0,1277
2,52.0,1282
4,27.66666603088379,1299
16,150.6666717529297,1302
15,180.0,1304
30,213.6666717529297,1306
5,16.0,1310
7,181.0,1355
2,160.0,1367
3,56.0,1382
4,78.44444274902344,1385
2,145.0,1391
35,40.0,1394
26,87.0,1398
20,117.0,1411
19,155.0,1412
18,198.3333282470703,1424
7,204.3333282470703,1434
2,228.0,1436
3,5.0,1440
23,103.0,1448
20,144.0,1449
21,153.0,1458
3,14.0,1466
32,108.33333587646484,1471
10,203.0,1475
11,29.33333396911621,1484
13,143.0,1489
2,32.66666793823242,1494
6,51.0,1497
21,190.0,1521
3,53.0,1526
1,162.0,1530
4,79.0,1532
21,96.33333587646484,1555
2,14.0,1569
5,103.0,1575
4,76.0,1585
1,153.0,1586
4,32.0,1598
21,28.0,1603
5,95.88888549804688,1624
5,215.3333282470703,1625
6,231.0,1631
18,78.0,1632
30,162.0,1633
24,200.11111450195312,1635
1,92.88888549804688,1636
3,184.0,1650
24,133.0,1661
24,200.3333282470703,1669
4,71.0,1672
21,196.6666717529297,1674
10,91.0,1680
5,92.0,1682
4,207.0,1685
21,115.0,1696
6,29.0,1699
3,55.0,1707
1,57.0,1722
20,36.0,1730
6,167.6666717529297,1731
8,199.0,1739
6,82.33333587646484,1751
7,236.0,1757
19,71.77777862548828,1758
2,41.33333206176758,1770
7,255.3333282470703,1773
8,168.0,1775
6,122.0,1778
2,166.0,1780
15,172.3333282470703,1788
17,141.0,1798
17,116.0,1801
6,48.0,1802
6,248.0,1805
30,187.3333282470703,1812
24,107.0,1814
1,107.0,1815
21,143.0,1823
5,43.66666793823242,1832
14,194.6666717529297,1834
20,110.33333587646484,1839
6,122.0,1847
4,106.0,1857
14,96.0,1872
26,209.0,1879
8,121.0,1888
9,171.6666717529297,1890
8,118.0,1893
5,97.66666412353516,1894
4,29.33333396911621,1898
7,100.0,1899
2,151.3333282470703,1905
30,129.3333282470703,1916
15,157.0,1926
2,2.0,1933
6,7.333333492279053,1947
5,30.66666603088379,1951
21,83.33333587646484,1956
6,150.0,1970
9,23.0,1981
14,53.0,1983
2,25.0,1985
30,115.0,1995
32,84.0,2001
11,48.0,2008
5,175.0,2011
12,152.6666717529297,2032
6,16.0,2040
30,160.6666717529297,2057
16,125.0,2062
35,58.0,2071
5,79.0,2075
26,190.0,2081
3,35.0,2082
1,76.0,2087
5,123.0,2099
6,24.0,2101
1,167.6666717529297,2107
5,39.0,2116
14,31.33333396911621,2125
26,150.6666717529297,2128
23,72.0,2131
8,135.0,2137
2,91.66666412353516,2140
2,95.0,2142
1,64.0,2155
8,187.0,2158
4,228.0,2170
4,64.0,2174
4,150.0,2179
8,189.6666717529297,2181
5,188.3333282470703,2185
3,104.0,2190
6,61.0,2201
6,14.0,2207
25,43.33333206176758,2209
1,21.0,2216
27,64.0,2224
2,41.66666793823242,2237
3,101.66666412353516,2239
27,186.0,2242
3,47.0,2246
7,84.0,2254
5,79.33333587646484,2255
6,20.0,2265
1,40.0,2280
23,136.0,2283
3,178.0,2288
13,179.0,2292
4,103.0,2303
17,165.0,2316
6,94.0,2317
7,132.0,2318
7,138.3333282470703,2319
18,128.6666717529297,2366
8,202.0,2371
1,27.0,2379
14,154.3333282470703,2386
21,227.0,2390
22,204.6666717529297,2395
4,234.6666717529297,2400
2,139.6666717529297,2405
22,128.0,2412
3,27.0,2429
6,8.0,2446
5,101.0,2467
7,68.0,2470
4,178.0,2473
22,142.3333282470703,2474
6,188.0,2488
8,55.0,2492
6,43.0,2506
35,138.0,2511
16,236.0,2516
11,173.0,2531
2,57.0,2538
4,55.33333206176758,2553
30,188.0,2571
7,197.0,2574
4,166.6666717529297,2578
11,191.0,2581
5,60.0,2585
18,74.0,2586
1,39.0,2593
3,145.0,2594
1,93.0,2595
28,173.3333282470703,2605
2,43.0,2608
