"basic_pars_name","data_pars_name","biome","mean_r2","sd_r2"
"lag","age_only",1,0.179421042414739,0.0166127430944265
"intercept","age_only",1,0.110950911325171,0.00838397349736921
"lag","land_use_landscape",1,0.25020274880888,0.0208218927264428
"intercept","land_use_landscape",1,0.199187008442004,0.016885687737263
"lag","environment",1,0.301527498586646,0.0203115605745432
"intercept","environment",1,0.257705458750469,0.0288717099251145
"lag","all_no_categorical",1,0.30936991706047,0.0170909375480928
"intercept","all_no_categorical",1,0.267879571032155,0.0129300748026232
"lag","all_mean_climate",1,0.318368631248723,0.0125738230293598
"intercept","all_mean_climate",1,0.285864156828291,0.0162231885536719
