"data_name","data_pars","basic_pars","model_type","rsq","rsq_sd","nearest_mature","age","k0","B0_exp","B0","theta","cwd","mean_prec","mean_si","fallow","indig","lulc_sum_15","lulc_sum_20","lulc_sum_21","lulc_sum_35","lulc_sum_39","lulc_sum_40","lulc_sum_41","lulc_sum_46","lulc_sum_48","lulc_sum_9","mature_forest_years","num_fires_after_regrowth","num_fires_before_regrowth","protec","sur_cover","ts_fire_after_regrowth","ts_fire_before_regrowth","last_LU_9","last_LU_15","last_LU_20","last_LU_21","last_LU_35","last_LU_39","last_LU_41","last_LU_46","last_LU_48","ecoreg_439","ecoreg_440","ecoreg_441","ecoreg_442","ecoreg_443","ecoreg_464","ecoreg_465","ecoreg_466","ecoreg_467","ecoreg_469","ecoreg_473","ecoreg_474","ecoreg_476","ecoreg_480","ecoreg_481","ecoreg_482","ecoreg_484","ecoreg_485","ecoreg_491","ecoreg_492","ecoreg_496","ecoreg_497","ecoreg_500","ecoreg_505","ecoreg_507","ecoreg_508","ecoreg_511","ecoreg_518","ecoreg_525","ecoreg_529","ecoreg_540","ecoreg_566","ecoreg_567","ecoreg_570","ecoreg_574","ecoreg_584","ecoreg_611","ecoreg_616","soil_2","soil_3","soil_5","soil_7","soil_8","soil_9","soil_10","soil_11","soil_12","soil_13","soil_14","soil_15","soil_16","soil_17","soil_18","soil_19","soil_22","soil_23","soil_24","soil_25","soil_26","soil_28","soil_29","soil_31","soil_32","soil_33","prec","si"
"5yr","cwd","age_B0","optim",0.20209112529811,0.0128149937167157,NA,0.610864389110834,NA,NA,86.0953017567867,0.532502578153068,0.229332163447517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5yr","cwd",NA,"lm",0.204668354677184,0.0125565307115694,0.498353028061847,45.527020502925,NA,NA,NA,NA,23.7027029773645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10yr","cwd","age_B0","optim",0.192034856791925,0.00741580639208375,NA,0.57788375405797,NA,NA,82.5439326675573,0.524262134115815,0.230071695940816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10yr","cwd",NA,"lm",0.192047869670604,0.0162514247119748,0.505075513140616,44.3436745340444,NA,NA,NA,NA,26.3924489922936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15yr","cwd","age_B0","optim",0.190500427384355,0.018014510587079,NA,0.604726209175697,NA,NA,75.7359068557356,0.583013767004949,0.27798647426125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15yr","cwd",NA,"lm",0.189113718806271,0.0127843285694374,0.505562231604881,45.2342095334606,NA,NA,NA,NA,27.4548265651896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"all","cwd","age_B0","optim",0.203292442604808,0.0208097582196352,NA,0.41591332466967,NA,NA,76.3278450307508,0.277916822018852,0.0186146581583708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"all","cwd",NA,"lm",0.197584044046781,0.0164489294871919,0.507249491655005,53.8017736383773,NA,NA,NA,NA,14.3067877006281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5yr","meanclim","age_B0","optim",0.202781438421549,0.015983693139466,NA,0.445842749383891,NA,NA,84.9920220780678,0.406249976900467,0.169654820073028,-0.0384237253173499,0.00083845972049953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5yr","meanclim",NA,"lm",0.21830125042716,0.0179727850976893,0.493314113806627,46.1056107967179,NA,NA,NA,NA,73.0364122821058,-66.0261157743347,23.8477543442909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
