"age","num_fires","biomass","protec","indig","nearest_mature_biomass","lulc_sum_30","distance","cwd","sur_cover","nitro","sand","phh2o","mean_pr","mean_srad","mean_temp","mean_vpd","mean_soil","mean_aet","amazon_quarter_regions","ecoreg_469","ecoreg_473","ecoreg_474","ecoreg_476","ecoreg_480","ecoreg_481","ecoreg_482","ecoreg_496","ecoreg_497","ecoreg_505","ecoreg_507","ecoreg_508","ecoreg_511","ecoreg_518","ecoreg_529","ecoreg_540","ecoreg_567","ecoreg_570","topography_21","topography_24","topography_31","topography_34","topography_41","topography_42","pred","pred_nolag"
10,3,43.5,0,0,232,0,6200,-228,0.092439376,6052,1337,141,2686.4,2274.14285714286,26.185715,6.65714285714286,1496.42857142857,94.2857142857143,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,23.4094528012695,75.8117577581106
3,4,0,0,0,231,0,6936,-555,0,4872,1379,147,1888.42857142857,2249.74285714286,26.185715,7.88571428571429,3806.65714285714,90.4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.36005796835714,56.1559225578232
15,2,104.5,0,0,231,0,1089,-576,0.4590585,4872,1379,147,1840.05714285714,2240.17142857143,26.057142,7.77142857142857,3713.57142857143,89.2857142857143,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,38.4182599895876,90.3670381405874
2,6,78.5,0,0,242,0,8707,-229,0.07617689,4760,1009,119,2218.02857142857,1937,25.714285,6.31428571428571,2833.17142857143,81.4285714285714,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.12161258159115,71.8293183189971
13,5,76,0,0,231,0,1960,-537,0.22510698,4872,1379,147,1932.54285714286,2234.28571428571,25.885714,7.51428571428571,3161.45714285714,89.3714285714286,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,29.1720737604949,76.3360172040414
5,5,142,0,0,242,0,1225,-192,0.33780313,4253,1253,136,1715.57142857143,1874.91428571429,24.757143,6.17142857142857,2659.62857142857,81.2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.5778731615776,107.478972227499
10,5,95.5,0,0,231,0,5709,-516,0,5064,1036,147,1652.14285714286,2220.2,25.6,8.11428571428571,3559.91428571429,86.2571428571429,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.2664315930852,62.7795940035803
16,3,85.5,0,0,237,0,5514,-462,0.39714694,4344,1760,145,1841.14285714286,2168.37142857143,24.414286,9.08571428571428,3187.22857142857,80.8,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28.4005173884556,69.202945493077
6,3,117,1,0,238,0,1192,-270,0.2633381,5297,1440,130,2158.2,1953.54285714286,25.971428,9.05714285714286,2794.77142857143,84.0857142857143,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,17.2176953067629,82.2052684622886
5,5,96,0,0,242,0,1212,-180,0.46676177,5483,747,141,1886.62857142857,1875.42857142857,24.385714,5.88571428571429,3043.31428571429,79.8857142857143,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21.3738184050483,115.13110182039
6,7,107,0,0,242,0,3020,-224,0.08587732,4760,1009,119,2269.65714285714,1923.45714285714,25.6,6.17142857142857,2959.6,80.6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.08838757262,89.8112973523302
